#time(sec):	Om (Hz)	tswh0:	tswh1:	tswh2:	tswh3:	tswh4:	tswh5:	tswh6:	tswh7:	tswm0:	tswm1:	tswm2:	tswm3:	tswm4:	tswm5:	tswm6:	tswm7:	tswl0:	tswl1:	tswl2:	tswl3:	tswl4:	tswl5:	tswl6:	tswl7:
179.9	0.0140	40.1037	40.1621	40.3362	40.3676	40.3416	40.2297	40.0642	40.0178	40.2488	40.2898	40.3680	40.4673	40.5122	40.4606	40.2421	40.1898	40.4640	40.4638	40.5537	40.6489	40.6022	40.4263	40.3426	40.3208
183.3	0.0140	40.1124	40.1497	40.3328	40.3730	40.3527	40.2405	40.0500	40.0283	40.2500	40.2815	40.3520	40.4605	40.4979	40.4606	40.2504	40.1898	40.4583	40.4616	40.5511	40.6429	40.5840	40.4180	40.3451	40.3497
186.7	0.0140	40.1137	40.1312	40.3351	40.3703	40.3539	40.2514	40.0383	40.0399	40.2513	40.2773	40.3308	40.4442	40.4811	40.4564	40.2587	40.1911	40.4513	40.4616	40.5474	40.6275	40.5647	40.4207	40.3489	40.3798
190.1	0.0140	40.1087	40.1213	40.3317	40.3609	40.3551	40.2612	40.0418	40.0538	40.2537	40.2741	40.3096	40.4293	40.4668	40.4492	40.2670	40.1924	40.4470	40.4730	40.5436	40.6085	40.5490	40.4263	40.3540	40.3982
193.6	0.0140	40.1074	40.1164	40.3273	40.3488	40.3564	40.2709	40.0394	40.0701	40.2562	40.2689	40.2977	40.4211	40.4500	40.4430	40.2763	40.1937	40.4428	40.4947	40.5424	40.5883	40.5345	40.4207	40.3603	40.4074
197.2	0.0140	40.1025	40.1077	40.3196	40.3407	40.3514	40.2807	40.0359	40.0852	40.2623	40.2616	40.2910	40.4130	40.4409	40.4327	40.2773	40.1989	40.4414	40.5095	40.5399	40.5693	40.5200	40.4207	40.3678	40.4127
200.6	0.0140	40.1050	40.1016	40.3141	40.3327	40.3453	40.2872	40.0359	40.0922	40.2660	40.2553	40.2831	40.4103	40.4370	40.4265	40.2773	40.2042	40.4372	40.5221	40.5299	40.5539	40.5079	40.4249	40.3767	40.4140
204.0	0.0140	40.1025	40.0942	40.3075	40.3273	40.3429	40.2948	40.0336	40.0911	40.2685	40.2491	40.2818	40.4035	40.4306	40.4203	40.2794	40.2081	40.4357	40.5381	40.5199	40.5456	40.4971	40.4346	40.3880	40.4245
207.4	0.0140	40.1000	40.0905	40.2987	40.3246	40.3318	40.2992	40.0359	40.0876	40.2709	40.2428	40.2884	40.3967	40.4306	40.4141	40.2805	40.2134	40.4329	40.5519	40.5124	40.5349	40.4875	40.4484	40.3969	40.4614
210.8	0.0140	40.0913	40.0855	40.2944	40.3246	40.3232	40.3003	40.0442	40.0911	40.2722	40.2366	40.2884	40.3886	40.4254	40.4059	40.2815	40.2200	40.4301	40.5633	40.5049	40.5219	40.4790	40.4637	40.4058	40.4851
